"P, BAR","T, K","RHO, KG/CU M","H, KJ/KG","U, KJ/KG","S, KJ/(KG)(K)","M, (1/n)",(dLV/dLP)t,(dLV/dLT)p,"Cp, KJ/(KG)(K)",GAMMAs,"SON VEL,M/SEC",e-,H,H+,H2
100,12000,1.0036-1,471969.5,372329.1,153.4231,1.001,-1.00846,1.0946,31.9819,1.434,11953.3,0.00999,0.97649,0.00999,0.00335
100,12500,9.5935-2,488660,384422.6,154.7854,0.997,-1.00969,1.1162,34.8701,1.405,12101.8,0.01362,0.9698,0.01363,0.00272
100,13000,9.1779-2,506930.5,397972.6,156.2181,0.992,-1.01149,1.1435,38.3035,1.3786,12256.1,0.01816,0.96118,0.01816,0.00224
100,13500,8.7849-2,527055.3,413223.4,157.7367,0.986,-1.0139,1.1767,42.2877,1.3554,12421.1,0.02369,0.95046,0.0237,0.00185
100,14000,8.4111-2,549313.1,430422.2,159.3562,0.979,-1.01692,1.2158,46.8256,1.3354,12600.4,0.03034,0.93744,0.03035,0.00154
100,14500,8.0536-2,573972.7,449804.1,161.0853,0.971,-1.0206,1.2609,51.9138,1.3186,12795.9,0.03817,0.922,0.03818,0.00128
100,15000,7.7101-2,601314.6,471614.3,162.9386,0.962,-1.02493,1.3117,57.5431,1.3048,13008.9,0.04726,0.904,0.04727,0.00107
100,15500,7.3788-2,631602.8,496080.1,164.9243,0.951,-1.02993,1.3679,63.6947,1.2936,13240.4,0.05765,0.88336,0.05766,0.0009
100,16000,7.0585-2,665091.5,523418.1,167.0502,0.939,-1.03557,1.4292,70.3395,1.2846,13490.7,0.06936,0.86005,0.06938,0.00075
100,16500,6.7481-2,702017.6,553826.9,169.3222,0.926,-1.04184,1.4949,77.4358,1.2777,13760.3,0.08239,0.8341,0.0824,0.00062
100,17000,6.4470-2,742593.3,587481.3,171.7442,0.911,-1.04868,1.5641,84.9271,1.2725,14049.3,0.09668,0.8056,0.0967,0.00052
100,17500,6.1548-2,786998.4,624524.8,174.3181,0.896,-1.05601,1.6357,92.7397,1.2688,14357.7,0.11218,0.77469,0.11219,0.00043
100,18000,5.8717-2,835371,665061.9,177.0429,0.879,-1.06373,1.7086,100.78,1.2663,14685.7,0.12876,0.74159,0.12878,0.00035
100,18500,5.5976-2,887797.4,709149,179.9153,0.861,-1.07171,1.7811,108.9336,1.265,15033.1,0.14631,0.70656,0.14633,0.00029
100,19000,5.3329-2,944300.8,756785.4,182.9285,0.842,-1.07979,1.8517,117.0634,1.2647,15399.4,0.16465,0.66995,0.16467,0.00024
100,19500,5.0780-2,1004831,807903.4,186.0726,0.823,-1.08778,1.9186,125.011,1.2651,15784.2,0.1836,0.6321,0.18362,0.00019
100,20000,4.8334-2,1069252,862360.3,189.3342,0.804,-1.09549,1.98,132.5992,1.2664,16186.6,0.20296,0.59344,0.20297,0.00015
