"P, BAR","T, K","RHO, KG/CU M","H, KJ/KG","U, KJ/KG","S, KJ/(KG)(K)","M, (1/n)",(dLV/dLP)t,(dLV/dLT)p,"Cp, KJ/(KG)(K)",GAMMAs,"SON VEL,M/SEC",e-,H,H+,H2
100,500,4.8491 0,2918.02,855.77,53.3021,2.016,-1,1,14.5115,1.3971,1697.4,0,0,0,1
100,600,4.0409 0,4370.62,1895.91,55.9502,2.016,-1,1,14.5436,1.3959,1858.6,0,0,0,1
100,700,3.4636 0,5827.85,2940.7,58.1964,2.016,-1,1,14.6061,1.3935,2005.8,0,0,0,1
100,800,3.0307 0,7292.83,3993.23,60.1524,2.016,-1,1,14.6979,1.3901,2141.7,0,0,0,1
100,900,2.6939 0,8768.4,5056.35,61.8902,2.016,-1,1,14.8188,1.3857,2268,0,0,0,1
100,1000,2.4245 0,10258.1,6133.55,63.4596,2.016,-1,1,14.9842,1.3798,2385.6,0,0,0,1
100,1100,2.2041 0,11765.1,7228.16,64.8958,2.016,-1,1,15.1633,1.3736,2496.4,0,0,0,1
100,1200,2.0204 0,13291.6,8342.19,66.2239,2.016,-1,1,15.3693,1.3668,2600.9,0,0,0,1
100,1300,1.8650 0,14839.4,9477.51,67.4627,2.016,-1,1,15.587,1.3598,2700.2,0,0,0,1
100,1400,1.7318 0,16409.1,10634.8,68.6259,2.016,-1,1,15.8077,1.353,2795.1,0,0,0,1
100,1500,1.6164 0,18000.9,11814.2,69.7241,2.016,-1,1,16.0274,1.3465,2886.3,0,0,0,1
100,1600,1.5153 0,19614.5,13015.3,70.7654,2.016,-1,1,16.2435,1.3404,2974.1,0,0.00001,0,0.99999
100,1700,1.4262 0,21249.5,14237.8,71.7565,2.016,-1,1.0001,16.457,1.3345,3059,0,0.00001,0,0.99999
100,1800,1.3469 0,22905.9,15481.7,72.7032,2.016,-1.00001,1.0003,16.6712,1.329,3141.1,0,0.00004,0,0.99996
100,1900,1.2760 0,24584,16747.1,73.6105,2.016,-1.00002,1.0006,16.8921,1.3235,3220.6,0,0.00008,0,0.99992
100,2000,1.2122 0,26284.8,18035.2,74.4828,2.016,-1.00004,1.0011,17.1283,1.3181,3297.5,0,0.00016,0,0.99984
100,2100,1.1544 0,28010.5,19347.7,75.3249,2.016,-1.00008,1.002,17.3914,1.3125,3371.9,0,0.00031,0,0.99969
100,2200,1.1017 0,29764.5,20688,76.1406,2.015,-1.00014,1.0035,17.6956,1.3066,3443.7,0,0.00056,0,0.99944
100,2300,1.0536 0,31551.6,22060.6,76.935,2.015,-1.00024,1.0058,18.0578,1.3003,3512.9,0,0.00097,0,0.99903
100,2400,1.0094 0,33378.6,23471.9,77.7125,2.014,-1.0004,1.0091,18.4971,1.2934,3579.6,0,0.00159,0,0.99841
100,2500,9.6859-1,35254.3,24930,78.4781,2.013,-1.00063,1.0138,19.0341,1.286,3643.7,0,0.00252,0,0.99748
100,2600,9.3072-1,37189.4,26445.1,79.237,2.012,-1.00096,1.0203,19.6905,1.278,3705.6,0,0.00384,0,0.99616
100,2700,8.9543-1,39197.1,28029.2,79.9946,2.01,-1.00142,1.029,20.4886,1.2696,3765.4,0,0.00568,0,0.99432
100,2800,8.6237-1,41292.6,29696.6,80.7566,2.008,-1.00204,1.0402,21.4501,1.2608,3823.7,0,0.00816,0,0.99184
100,2900,8.3126-1,43493.3,31463.3,81.5287,2.004,-1.00286,1.0545,22.5961,1.252,3880.9,0,0.01145,0,0.98855
100,3000,8.0184-1,45818.6,33347.3,82.3169,2,-1.00392,1.0723,23.9463,1.2433,3937.7,0,0.01569,0,0.98431
100,3100,7.7387-1,48289.9,35367.9,83.1271,1.995,-1.00527,1.094,25.5184,1.2349,3994.7,0,0.02107,0,0.97893
100,3200,7.4715-1,50930.2,37546.1,83.9652,1.988,-1.00694,1.12,27.3276,1.2271,4052.6,0,0.02775,0,0.97225
100,3300,7.2151-1,53763.8,39904,84.837,1.98,-1.00898,1.1508,29.3866,1.2199,4112,0,0.03592,0,0.96408
100,3400,6.9678-1,56816.2,42464.5,85.748,1.97,-1.01143,1.1865,31.7046,1.2136,4173.4,0,0.04575,0,0.95425
100,3500,6.7284-1,60113.5,45251.1,86.7037,1.958,-1.01434,1.2275,34.2878,1.2081,4237.4,0,0.05741,0,0.94259
100,4000,5.6147-1,81198.3,63387.8,92.3098,1.867,-1.03661,1.5098,51.0892,1.1934,4610.3,0,0.14739,0,0.85261
100,4500,4.6027-1,112000,90273.6,99.5406,1.722,-1.07074,1.8774,72.5084,1.1961,5097.8,0,0.29145,0,0.70855
100,5000,3.7115-1,153398.7,126455.1,108.2461,1.543,-1.10628,2.1879,91.9015,1.2112,5712.7,0,0.4692,0,0.5308
100,5500,2.9949-1,201781.9,168391.8,117.4636,1.37,-1.12461,2.2667,98.7767,1.2364,6425.1,0,0.64122,0,0.35877
100,6000,2.4746-1,249247.8,208837.1,125.7302,1.234,-1.11617,2.0823,88.6211,1.2713,7167.5,0.00001,0.77521,0.00001,0.22478
100,6500,2.1192-1,288922.3,241734.2,132.0917,1.145,-1.09118,1.7839,69.6368,1.3168,7882.6,0.00002,0.86367,0.00002,0.13629
100,7000,1.8757-1,319200.5,265887.2,136.5874,1.092,-1.065,1.5188,52.2692,1.372,8552.5,0.00005,0.91677,0.00004,0.08313
100,7500,1.7006-1,342115.2,283311.1,139.7541,1.06,-1.04475,1.3338,40.2984,1.4314,9174.6,0.00011,0.94758,0.00011,0.0522
100,8000,1.5666-1,360287.7,296455,142.1023,1.042,-1.03089,1.2172,33.0425,1.4856,9738,0.00022,0.96549,0.00022,0.03404
100,8500,1.4585-1,375679.2,307116.6,143.9697,1.031,-1.02179,1.1463,28.9329,1.5256,10227.5,0.00043,0.97602,0.00043,0.02308
100,9000,1.3678-1,389545,316434.8,145.5554,1.024,-1.01589,1.1041,26.7863,1.5476,10636.9,0.00078,0.98217,0.00078,0.01623
100,9500,1.2894-1,402673.6,325120.8,146.9753,1.019,-1.0121,1.0801,25.8985,1.5519,10970.8,0.00133,0.98551,0.00133,0.01178
100,10000,1.2204-1,415588.8,333646.6,148.3002,1.015,-1.00971,1.0682,25.8882,1.5419,11240.3,0.00215,0.98684,0.00215,0.00879
100,10500,1.1585-1,428675,342358.3,149.577,1.011,-1.00834,1.065,26.5604,1.5214,11459.6,0.00332,0.98653,0.00332,0.00672
100,11000,1.1025-1,442247.1,351540.5,150.8395,1.008,-1.00775,1.0688,27.8217,1.4944,11642.8,0.00495,0.98473,0.00495,0.00524
100,11500,1.0511-1,456588.3,361449.1,152.1142,1.005,-1.0078,1.0788,29.6328,1.4644,11803.5,0.00713,0.98141,0.00714,0.00416
