T,K(cr),K(L),KOH(a),KOH(b),KOH(L),K2O2(s),K2O(s),KO2(s),H2O(s),H2O(L),Electron,H,H+,H-,HO2,H2,H2+,H2-,H2O,H2O+,H2O2,H3O+,K,K+,KH,KO,KO-,KOH,KOH+,K2,K2O2H2,O,O+,O-,OH,OH+,OH-,O2,O2+,O2-,O3
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8255071078323574e-27,2.2145265106876195e-19,1.961253276655689e-126,2.1505216076435226e-42,6.582731118398989e-74,0.9999999999997999,2.69394874479476e-125,1.3714981095542313e-55,1.9999999948140424e-13,6.294053043706059e-110,5.024899332254089e-63,5.903794583690945e-75,9.99999692916756e-14,1.8255071078323735e-27,3.018972509526179e-20,9.768649539075868e-49,1.8654870850052555e-58,5.185957124860834e-22,1.235339690941312e-66,8.746768457517833e-28,3.7847571379754493e-34,3.0775104287503646e-56,1.864625191736395e-163,5.8264045527542e-72,4.350474008742416e-38,7.454138291789885e-138,1.4232274376124444e-50,6.954073707761821e-69,2.533432027644646e-160,1.3488275036508203e-94,6.951392745036408e-123
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0146800850114359e-23,1.4710566693393906e-15,2.5830088453328067e-103,2.7219866269272688e-36,3.2518736423407796e-65,0.9999999999997992,6.330426928379937e-103,7.87176653732475e-48,1.9999999997660004e-13,2.7987499917136804e-92,6.034987919943322e-57,4.959991043250233e-64,9.999988474206945e-14,1.0146800850117081e-23,1.152243835613304e-19,8.621799461488516e-45,1.693100194867123e-54,2.339998575888902e-23,6.506738094320572e-59,9.603611895050189e-29,3.4140521697457858e-40,1.2791556851909676e-47,1.6123771732951955e-135,2.9527035358968196e-62,3.76616840660042e-33,8.555720294480667e-115,3.676188673603915e-45,2.231968411467825e-60,4.563197759682411e-135,2.9183948710355913e-83,1.1647353462580329e-107
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9462487301463395e-21,8.045750406938577e-13,8.846974294416882e-87,6.143329534552359e-32,5.473071158315515e-59,0.9999999999993977,6.24512853854883e-87,2.684864713380964e-42,1.9999999999736476e-13,1.1656094853557045e-79,1.3668731304528086e-52,3.1883626735781222e-56,9.999969549868425e-14,4.946248730207773e-21,2.995524317383391e-19,5.836112093883223e-42,1.134573076338725e-51,2.6352253295878804e-24,2.2639848070403215e-53,1.9666101892385393e-29,1.708113690771957e-44,1.9089296063730557e-41,1.5579479225877732e-115,2.5515232230031043e-55,1.295478967137786e-29,2.6697591214184132e-98,2.677619358027498e-41,2.8002773243614506e-54,5.4165480533382274e-117,3.7505273435466104e-75,9.486866759570511e-97
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.247613981792915e-19,9.220115851382636e-11,2.3080339709359542e-74,1.120805669788995e-28,2.628059395374772e-54,0.9999999999536995,6.351318419598869e-75,3.736938748204187e-38,1.9999999999947118e-13,3.481136686518414e-70,2.5815445667620315e-49,2.317159320891995e-50,9.99988615980428e-14,5.24761398291372e-19,6.136400359169119e-19,7.89350310517138e-40,1.4891309030470876e-49,5.230202052286701e-25,3.3879364315733816e-49,5.949495154403741e-30,1.0499211070686935e-47,8.381045355943357e-37,1.5956777047089617e-100,4.0884815186798457e-50,5.9056724133516476e-27,6.509782680214198e-86,2.0942411287879211e-38,1.088232898555536e-49,2.0617523897691458e-103,4.6100511359465036e-69,1.536468740617662e-88
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0091524535656583e-17,3.7210117818999444e-09,1.0775288399756302e-64,3.8256788391133425e-26,1.1734800763889159e-50,0.9999999981392941,1.4173340483428335e-65,6.180431373837321e-35,1.9999999999915142e-13,8.308725151618509e-63,9.283917267211133e-47,8.491500701430869e-46,9.997883555043802e-14,2.009152457391337e-17,1.0729248371533327e-18,3.635593111722545e-38,6.58360445912273e-48,1.5091875883591592e-25,6.185756464708864e-46,2.3335840852792773e-30,3.4277627296775003e-50,3.489723376334688e-33,7.830720029943695e-89,4.57867992623362e-46,6.976401345026733e-25,2.886333755813531e-76,3.6983359158824845e-36,4.146199679256392e-46,7.855587297940621e-93,2.5418865354323917e-64,3.8985997560057195e-82
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7562799106269007e-16,7.224034692376262e-08,5.997106496964445e-57,4.035019664421638e-24,9.905857405372737e-48,0.999999963879627,4.3550892982654315e-58,2.3010004293342283e-32,1.999999999679861e-13,6.746915233641788e-57,1.0434791661039751e-44,3.852120128090343e-42,9.962269793279625e-14,3.7562799509770976e-16,1.6740720497913536e-18,7.833418781416897e-37,1.3514960410829322e-46,5.62766312906597e-26,2.575343465923396e-43,1.0901044707170486e-30,3.571008111828921e-52,2.7844074105773496e-30,1.817755993968242e-79,7.936727738391199e-43,3.195772076217365e-23,1.5419294451523809e-68,2.300283505094071e-34,3.0953888327007723e-43,2.3690562700490896e-84,1.5879400222663238e-60,5.3560398471404115e-77
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0980987661068345e-15,8.22990976758628e-07,1.350394506737722e-50,1.7834395027409834e-22,2.4838647255373087e-45,0.9999995885043117,6.0181142835356416e-52,2.8531641293366734e-30,1.9999999926600305e-13,4.7557541841903776e-52,5.0250453200332775e-43,3.886482680921384e-39,9.589957222550083e-14,4.0980989444507874e-15,2.3288300239427334e-18,9.389311354123091e-36,1.5125058652234978e-45,2.4447042215972643e-26,3.5898371063635093e-41,5.418915953750442e-31,8.096800427505199e-54,6.664021883137237e-28,8.701930359824397e-72,3.4813662428807672e-40,7.339719447361817e-22,3.3566788598931607e-62,6.590373714038184e-33,7.038133418591326e-41,2.1405922869906164e-77,1.9979282444832288e-57,8.776681219487428e-73
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6886116223845127e-14,6.281690605889486e-06,3.037672344557685e-45,3.7021893910815155e-21,2.501338907070567e-43,0.9999968591544969,8.998208389121367e-47,1.399069670735626e-28,1.9999998996600988e-13,5.939651586299174e-48,1.2796284095934035e-41,1.4083586691213666e-36,7.311146433783212e-14,2.688611992603466e-14,2.415736123557706e-18,5.883947766312009e-35,7.865709892521559e-45,9.66633304923396e-27,1.9811438459739616e-39,1.8628496150346604e-31,2.169027696726177e-55,6.453098722124282e-26,2.5079026772134155e-65,4.907736393593516e-38,1.0033915894284723e-20,7.337135218713868e-57,9.517210339486896e-32,6.544201727062112e-39,1.5398365557953885e-71,6.800616650359325e-55,2.905432653673134e-69
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999999016015671e-13,0.0,7.935214702953876e-14,3.521431081357714e-05,1.7425564630648257e-40,2.8613219222924746e-20,3.0184750968334435e-54,0.999982392844393,3.6495023344283413e-42,2.2381205019200012e-27,9.839838766516529e-20,1.4468817700051668e-50,4.826084297528829e-53,1.715252090642179e-40,2.0646938227584558e-14,7.935217564276021e-14,8.861296552231865e-19,4.877761998037184e-41,3.292600390885036e-51,7.745211875307791e-34,1.7529099828850647e-44,9.467377640143116e-33,3.136622336390175e-70,1.5308234086885714e-30,6.13827188837066e-66,9.458781638270341e-43,4.524767298215253e-26,2.0197495639733836e-58,2.6577866546277934e-37,7.390494456976049e-50,5.73548716856435e-79,1.362832583788199e-65,3.336398794109477e-85
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-13,0.0,9.834479597389112e-14,0.00015483055588955843,4.3366338491648786e-36,8.008722758472452e-20,3.6453468342056113e-78,0.9999225847218551,6.742241757492828e-38,1.1688833940710493e-26,2.019646721367408e-32,9.024953924271551e-60,2.1516231552089982e-77,8.206111362276255e-51,1.655034990613511e-15,9.83448760611304e-14,8.894825609284735e-20,3.7202317314564495e-54,6.7582847278707415e-65,7.982028263646625e-48,2.1074218938622354e-56,4.108934871390461e-35,9.304884076433714e-99,8.751535558215535e-42,2.0002064397387258e-73,2.1877160380172307e-54,6.214666059832156e-38,1.0091658647984889e-66,1.1701059193748804e-49,8.438999935401794e-74,1.4039272160231385e-99,1.2308006865904983e-89,1.0533889351107978e-120
